IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.203.37,443,443,TRUE,FRA,Europe,Frankfurt,181,9.99
141.147.46.8,443,443,TRUE,FRA,Europe,Frankfurt,180,9.98
158.180.50.33,443,443,TRUE,FRA,Europe,Frankfurt,165,9.97
141.145.206.16,8443,443,TRUE,CDG,Europe,Paris,193,9.97
141.144.225.228,443,443,TRUE,FRA,Europe,Frankfurt,188,9.96
141.144.195.156,443,443,TRUE,FRA,Europe,Frankfurt,205,9.96
141.148.227.25,443,443,TRUE,FRA,Europe,Frankfurt,190,9.93
141.148.228.105,443,443,TRUE,FRA,Europe,Frankfurt,169,9.9
144.21.53.123,443,443,TRUE,FRA,Europe,Frankfurt,179,9.79
141.148.231.7,443,443,TRUE,HAM,Europe,Hamburg,195,9.7
158.180.13.39,443,443,TRUE,FRA,Europe,Frankfurt,172,9.69
144.24.169.81,2053,443,TRUE,FRA,Europe,Frankfurt,178,9.65
130.61.87.219,443,443,TRUE,FRA,Europe,Frankfurt,186,9.63
144.21.48.247,443,443,TRUE,FRA,Europe,Frankfurt,182,9.61
89.168.105.14,443,443,TRUE,FRA,Europe,Frankfurt,191,9.61
141.148.237.30,443,443,TRUE,FRA,Europe,Frankfurt,179,9.6
158.180.15.110,443,443,TRUE,FRA,Europe,Frankfurt,171,9.57
152.67.136.79,443,443,TRUE,FRA,Europe,Frankfurt,198,9.56
141.147.114.185,443,443,TRUE,FRA,Europe,Frankfurt,177,9.47
138.3.254.39,443,443,TRUE,FRA,Europe,Frankfurt,169,9.46
158.178.154.14,443,443,TRUE,FRA,Europe,Frankfurt,190,9.43
144.24.162.196,443,443,TRUE,FRA,Europe,Frankfurt,182,9.43
152.70.94.140,443,443,TRUE,SIN,Asia Pacific,Singapore,205,9.38
144.21.55.172,443,443,TRUE,FRA,Europe,Frankfurt,179,9.38
132.226.201.149,443,443,TRUE,FRA,Europe,Frankfurt,201,9.38
141.147.92.143,8443,443,TRUE,LHR,Europe,London,164,9.32
130.61.203.115,8443,443,TRUE,FRA,Europe,Frankfurt,196,9.25
158.101.148.105,443,443,TRUE,NRT,Asia Pacific,Tokyo,99,9.15
152.70.52.215,443,443,TRUE,AMS,Europe,Amsterdam,176,9.1
84.235.163.67,443,443,TRUE,FRA,Europe,Frankfurt,173,9.09
129.154.203.124,443,443,TRUE,SIN,Asia Pacific,Singapore,215,9.09
152.67.140.137,443,443,TRUE,FRA,Europe,Frankfurt,206,9.06
84.235.164.224,443,443,TRUE,FRA,Europe,Frankfurt,192,9.03
130.162.232.193,443,443,TRUE,FRA,Europe,Frankfurt,169,9.03
64.110.85.61,443,443,TRUE,SIN,Asia Pacific,Singapore,211,8.92
129.154.196.106,443,443,TRUE,SIN,Asia Pacific,Singapore,207,8.9
129.146.137.89,2096,443,TRUE,LAX,North America,Los Angeles,221,8.89
130.162.133.195,443,443,TRUE,SIN,Asia Pacific,Singapore,208,8.81
193.123.69.77,443,443,TRUE,MXP,Europe,Milan,87,8.67
152.70.57.247,443,443,TRUE,FRA,Europe,Frankfurt,193,8.64
150.230.146.246,443,443,TRUE,FRA,Europe,Frankfurt,181,8.59
132.226.200.107,443,443,TRUE,FRA,Europe,Frankfurt,165,8.57
141.147.96.127,443,443,TRUE,FRA,Europe,Frankfurt,173,8.5
152.67.141.191,443,443,TRUE,FRA,Europe,Frankfurt,191,8.5
84.235.163.170,443,443,TRUE,FRA,Europe,Frankfurt,198,8.44
129.146.7.98,443,443,TRUE,LAX,North America,Los Angeles,199,8.4
193.122.12.12,443,443,TRUE,FRA,Europe,Frankfurt,178,8.38
89.168.81.62,443,443,TRUE,FRA,Europe,Frankfurt,163,8.25
129.159.202.42,443,443,TRUE,FRA,Europe,Frankfurt,170,8.23
158.178.147.159,443,443,TRUE,FRA,Europe,Frankfurt,171,8.16
152.70.168.244,443,443,TRUE,FRA,Europe,Frankfurt,177,8.09
165.1.79.60,8443,443,TRUE,SJC,North America,San Jose,231,8.07
152.70.117.136,443,443,TRUE,SJC,North America,San Jose,200,7.94
146.56.47.218,443,443,TRUE,SIN,Asia Pacific,Singapore,232,7.86
152.70.123.225,8443,443,TRUE,SJC,North America,San Jose,210,7.85
192.9.246.112,8443,443,TRUE,SJC,North America,San Jose,212,7.85
152.67.133.254,443,443,TRUE,FRA,Europe,Frankfurt,200,7.82
150.230.47.17,443,443,TRUE,SJC,North America,San Jose,217,7.73
144.24.173.250,2053,443,TRUE,FRA,Europe,Frankfurt,169,7.64
130.162.221.198,443,443,TRUE,HAM,Europe,Hamburg,175,7.63
141.148.225.142,443,443,TRUE,AMS,Europe,Amsterdam,184,7.5
132.226.130.205,443,443,TRUE,FRA,Europe,Frankfurt,182,7.5
152.67.232.185,8443,443,TRUE,SJC,North America,San Jose,193,7.31
144.24.173.250,8443,443,TRUE,FRA,Europe,Frankfurt,166,7.25
144.24.173.250,2096,443,TRUE,FRA,Europe,Frankfurt,169,7.21
89.168.124.114,443,443,TRUE,FRA,Europe,Frankfurt,153,7.15
193.123.35.49,443,443,TRUE,FRA,Europe,Frankfurt,160,7.12
152.70.49.179,443,443,TRUE,FRA,Europe,Frankfurt,210,7.11
141.148.229.73,443,443,TRUE,FRA,Europe,Frankfurt,162,7.09
141.145.205.115,8443,8443,TRUE,CDG,Europe,Paris,171,6.75
204.216.214.115,2053,443,TRUE,MRS,Europe,Marseille,246,6.71
204.216.214.115,2095,443,TRUE,CDG,Europe,Paris,243,6.66
144.24.243.207,443,443,TRUE,CDG,Europe,Paris,149,6.56
131.186.33.175,443,443,TRUE,NRT,Asia Pacific,Tokyo,124,6.48
158.179.207.182,8443,443,TRUE,ARN,Europe,Stockholm,177,6.29
168.138.165.174,443,443,TRUE,SIN,Asia Pacific,Singapore,4,6.26
158.178.153.9,443,443,TRUE,FRA,Europe,Frankfurt,193,6.1
158.179.207.182,2053,443,TRUE,ARN,Europe,Stockholm,195,6
132.145.54.84,2053,443,TRUE,LHR,Europe,London,171,5.98
144.24.169.81,8443,443,TRUE,FRA,Europe,Frankfurt,176,5.94
68.233.127.163,8443,443,TRUE,YYZ,North America,Toronto,256,5.91
152.70.155.147,443,443,TRUE,LAX,North America,Los Angeles,205,5.88
129.146.248.140,443,443,TRUE,LAX,North America,Los Angeles,201,5.73
144.24.161.142,8443,443,TRUE,FRA,Europe,Frankfurt,168,5.73
152.67.222.167,443,443,TRUE,NRT,Asia Pacific,Tokyo,78,5.7
158.179.172.95,443,443,TRUE,ICN,Asia Pacific,Seoul,106,5.67
152.70.155.147,2087,2087,TRUE,LAX,North America,Los Angeles,231,5.62
204.216.105.106,8443,8443,TRUE,YUL,North America,Montréal,271,5.61
152.70.155.147,2096,2096,TRUE,LAX,North America,Los Angeles,193,5.59
141.148.229.231,2053,443,TRUE,AMS,Europe,Amsterdam,180,5.55
152.70.155.147,2053,2053,TRUE,LAX,North America,Los Angeles,208,5.52
132.145.54.84,8443,443,TRUE,LHR,Europe,London,161,5.38
140.238.58.181,2053,443,TRUE,NRT,Asia Pacific,Tokyo,90,5.33
130.61.239.203,2053,443,TRUE,FRA,Europe,Frankfurt,188,5.33
140.238.195.98,443,443,TRUE,SYD,Oceania,Sydney,96,5.32
159.13.46.42,443,443,TRUE,SYD,Oceania,Sydney,123,5.24
140.238.195.98,443,443,TRUE,SYD,Oceania,Sydney,93,5.19
89.168.43.31,2053,443,TRUE,CDG,Europe,Paris,180,5.13
141.148.229.231,8443,443,TRUE,AMS,Europe,Amsterdam,176,5.13
130.162.140.215,443,443,TRUE,NRT,Asia Pacific,Tokyo,126,5.09
131.186.27.112,2096,443,TRUE,NRT,Asia Pacific,Tokyo,112,5.07
138.2.18.184,443,443,TRUE,NRT,Asia Pacific,Tokyo,83,5.01
131.186.28.236,443,443,TRUE,NRT,Asia Pacific,Tokyo,114,4.99
130.61.239.203,443,443,TRUE,FRA,Europe,Frankfurt,177,4.98
140.238.37.208,443,443,TRUE,NRT,Asia Pacific,Tokyo,382,4.97
193.122.61.167,443,443,TRUE,FRA,Europe,Frankfurt,169,4.77
141.144.253.109,443,443,TRUE,FRA,Europe,Frankfurt,183,4.75
152.67.65.201,443,443,TRUE,MXP,Europe,Milan,157,4.73
150.230.149.208,443,443,TRUE,FRA,Europe,Frankfurt,188,4.72
84.235.169.234,443,443,TRUE,AMS,Europe,Amsterdam,175,4.72
144.24.189.21,443,443,TRUE,FRA,Europe,Frankfurt,167,4.69
192.9.250.241,443,443,TRUE,SJC,North America,San Jose,210,4.67
